"old_name","module","source_file","new_name"
"AB_CIVARTest","constraints.R","CIVAR_d.r","ab_civar_test"
"ABC_MRCIVARestm","estimation.R","MRCIVAR_c.R","abc_mrciva_restm"
"abLRtest2","constraints.R","CIVAR_d.r","ab_l_rtest2"
"ABSVAR","utils.R","CIVAR_d.r","absvar"
"ACCIRFconfR","irf.R","MRGVAR_c.R","accir_fconf_r"
"alpha_perpf","utils.R","CIVAR_d.r","alpha_perpf"
"B2CIB","utils.R","CIVAR_d.r","b2_cib"
"Bo2Ao","utils.R","MRCIGVAR_d.R","bo2_ao"
"BoAo2TBoAo","utils.R","MRCIGVAR_d.R","bo_ao2_t_bo_ao"
"BoAoW2G","utils.R","GVAR_c.R","bo_ao_w2_g"
"BoAoWs2Gs","utils.R","MRGVAR_c.R","bo_ao_ws2_gs"
"CCIVARData","data_input.R","CIVAR_d.r","ccivar_data"
"CCIVARest","estimation.R","CIVAR_d.r","cciva_rest"
"CIA2A","utils.R","CIVAR_d.r","cia2_a"
"CIB2B","utils.R","CIVAR_d.r","cib2_b"
"CIB3B","utils.R","CIVAR_d.r","cib3_b"
"CIGVAR_Select","model_selection.R","CIGVAR_d.R","cigvar_select_"
"CIGVARData","data_input.R","CIGVAR_d.R","cigvar_data"
"CIGVARest","estimation.R","CIGVAR_d.R","cigvar_estimate"
"CIVARData","data_input.R","CIVAR_d.r","civar_data"
"CIVARest","estimation.R","CIVAR_d.r","civar_estimate"
"CIVARTest","constraints.R","CIVAR_d.r","civar_test"
"cvecm","utils.R","CIVAR_d.r","cvecm"
"CVECM2CVAR","utils.R","CIVAR_d.r","cvecm2_cvar"
"Embed","utils.R","VARs_functions_c.R","embed_ts"
"f","utils.R","VARs_functions_c.R","f"
"f_constrained","constraints.R","VARs_functions_c.R","f_constrained"
"girf_MRCIGVAR_RM","irf.R","MRCIGVAR_d.R","girf_mrcigvar_rm"
"girf_MRCIGVAR_RM_CB","irf.R","MRCIGVAR_d.R","girf_mrcigvar_rm_cb"
"girf_MRCIVAR_RM","irf.R","MRCIVAR_c.R","girf_mrcivar_rm"
"girf_MRCIVAR_RM_CB","irf.R","MRCIVAR_c.R","girf_mrcivar_rm_cb"
"girf_MRGVAR_RM","irf.R","MRGVAR_c.R","girf_mrgvar_rm"
"girf_MRGVAR_RM_CB","irf.R","MRGVAR_c.R","girf_mrgvar_rm_cb"
"girf_MRVAR_RM","irf.R","MRVAR_c.R","girf_mrvar_rm"
"girf_MRVAR_RM_CB","irf.R","MRVAR_c.R","girf_mrvar_rm_cb"
"GVAR_Select","model_selection.R","GVAR_c.R","gvar_select_"
"GVARData","data_input.R","GVAR_c.R","gvar_data"
"GVARest","estimation.R","GVAR_c.R","gvar_estimate"
"GW2BoAo","utils.R","GVAR_c.R","gw2_bo_ao"
"INVI","utils.R","VARs_functions_c.R","invi"
"irf_B_sigma","irf.R","VARs_functions_c.R","irf_from_params"
"irf_CIGVAR_CB","irf.R","CIGVAR_d.R","irf_cigvar_cb"
"irf_CIVAR_CB","irf.R","CIVAR_d.r","irf_civar_cb"
"irf_GloabalResponse_CB","irf.R","MRGVAR_c.R","irf_gloabal_response_cb"
"IRF_graph","irf.R","VARs_functions_c.R","plot_irf"
"irf_GVAR","irf.R","GVAR_c.R","irf_gvar"
"irf_GVAR_CB","irf.R","GVAR_c.R","irf_gvar_cb"
"irf_MRCIGVAR","irf.R","MRCIGVAR_d.R","irf_mrcigvar"
"irf_MRCIGVAR_CB","irf.R","MRCIGVAR_d.R","irf_mrcigvar_cb"
"irf_MRCIVAR_CB","irf.R","MRCIVAR_c.R","irf_mrcivar_cb"
"irf_MRGVAR","irf.R","MRGVAR_c.R","irf_mrgvar"
"irf_MRGVAR_CB","irf.R","MRGVAR_c.R","irf_mrgvar_cb"
"irf_MRVAR_CB","irf.R","MRVAR_c.R","irf_mrvar_cb"
"irf_MRVAR_NM","irf.R","MRVAR_c.R","irf_mrvar_nm"
"irf_MRVAR_NM_CB","irf.R","MRVAR_c.R","irf_mrvar_nm_cb"
"irf_VAR_CB","irf.R","VAR_c.R","irf_var_cb"
"JointX","utils.R","MRVAR_c.R","bind_exogenous_by_state"
"MIxCIVARData","data_input.R","CIVAR_d.r","m_ix_civar_data"
"MRCIGVAR_Select","model_selection.R","MRCIGVAR_d.R","mrcigvar_select_"
"MRCIGVARData","data_input.R","MRCIGVAR_d.R","mrcigvar_data"
"MRCIGVARDataR","data_input.R","MRCIGVAR_d.R","mrcigvar_data_r"
"MRCIGVARest","estimation.R","MRCIGVAR_d.R","mrcigvar_estimate"
"MRCIVAR_Selectm","model_selection.R","MRCIVAR_c.R","mrcivar_select_m"
