"old_name","new_name","module","source_file","keep_old_alias","status"
"AB_CIVARTest","ab_civar_test","constraints.R","CIVAR_d.r",TRUE,"proposed"
"ABC_MRCIVARestm","abc_mrciva_restm","estimation.R","MRCIVAR_c.R",TRUE,"proposed"
"abLRtest2","ab_l_rtest2","constraints.R","CIVAR_d.r",TRUE,"proposed"
"ABSVAR","absvar","utils.R","CIVAR_d.r",TRUE,"proposed"
"ACCIRFconfR","accir_fconf_r","irf.R","MRGVAR_c.R",TRUE,"proposed"
"alpha_perpf","alpha_perpf","utils.R","CIVAR_d.r",TRUE,"proposed"
"B2CIB","b2_cib","utils.R","CIVAR_d.r",TRUE,"proposed"
"Bo2Ao","bo2_ao","utils.R","MRCIGVAR_d.R",TRUE,"proposed"
"BoAo2TBoAo","bo_ao2_t_bo_ao","utils.R","MRCIGVAR_d.R",TRUE,"proposed"
"BoAoW2G","bo_ao_w2_g","utils.R","GVAR_c.R",TRUE,"proposed"
"BoAoWs2Gs","bo_ao_ws2_gs","utils.R","MRGVAR_c.R",TRUE,"proposed"
"CCIVARData","ccivar_data","data_input.R","CIVAR_d.r",TRUE,"proposed"
"CCIVARest","cciva_rest","estimation.R","CIVAR_d.r",TRUE,"proposed"
"CIA2A","cia2_a","utils.R","CIVAR_d.r",TRUE,"proposed"
"CIB2B","cib2_b","utils.R","CIVAR_d.r",TRUE,"proposed"
"CIB3B","cib3_b","utils.R","CIVAR_d.r",TRUE,"proposed"
"CIGVAR_Select","cigvar_select_","model_selection.R","CIGVAR_d.R",TRUE,"proposed"
"CIGVARData","cigvar_data","data_input.R","CIGVAR_d.R",TRUE,"proposed"
"CIGVARest","cigvar_estimate","estimation.R","CIGVAR_d.R",TRUE,"proposed"
"CIVARData","civar_data","data_input.R","CIVAR_d.r",TRUE,"proposed"
"CIVARest","civar_estimate","estimation.R","CIVAR_d.r",TRUE,"proposed"
"CIVARTest","civar_test","constraints.R","CIVAR_d.r",TRUE,"proposed"
"cvecm","cvecm","utils.R","CIVAR_d.r",TRUE,"proposed"
"CVECM2CVAR","cvecm2_cvar","utils.R","CIVAR_d.r",TRUE,"proposed"
"Embed","embed_ts","utils.R","VARs_functions_c.R",TRUE,"proposed"
"f","f","utils.R","VARs_functions_c.R",TRUE,"proposed"
"f_constrained","f_constrained","constraints.R","VARs_functions_c.R",TRUE,"proposed"
"girf_MRCIGVAR_RM","girf_mrcigvar_rm","irf.R","MRCIGVAR_d.R",TRUE,"proposed"
"girf_MRCIGVAR_RM_CB","girf_mrcigvar_rm_cb","irf.R","MRCIGVAR_d.R",TRUE,"proposed"
